,fiscal_year_released,recidivism_reporting_year,main_supervising_district,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,recidivism_type,target_population
5708,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Theft,No,No Recidivism,Yes
5709,2012,2015,4JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Violent,Sex,No,No Recidivism,Yes
5710,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Violent,Murder/Manslaughter,No,No Recidivism,No
5711,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
5712,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5713,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5714,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5715,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5716,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5717,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5723,2012,2015,ISC,Parole,White - Non-Hispanic,45-54,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
5724,2012,2015,ISC,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5725,2012,2015,ISC,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5726,2012,2015,ISC,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5729,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Property,Theft,No,No Recidivism,Yes
5731,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Female,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5732,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Female,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5733,2012,2015,ISC,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,No Recidivism,No
5734,2012,2015,ISC,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,No,No Recidivism,No
5735,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5736,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5737,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5738,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5739,2012,2015,5JD,Parole,White - Non-Hispanic,55 and Older,Female,Felony - Enhancement to Original Penalty,Violent,Assault,No,No Recidivism,Yes
5740,2012,2015,3JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
5741,2012,2015,3JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
5742,2012,2015,3JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
5743,2012,2015,3JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
5744,2012,2015,7JD,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,No,No Recidivism,Yes
5747,2012,2015,6JD,Parole,Black - Non-Hispanic,45-54,Male,B Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
5748,2012,2015,7JD,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
5749,2012,2015,8JD,Special Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Sex,No,No Recidivism,Yes
5751,2012,2015,6JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,Traffic,No,No Recidivism,Yes
5752,2012,2015,2JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Theft,No,No Recidivism,No
5753,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5754,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5755,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5756,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5757,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5758,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5759,2012,2015,5JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Violent,Assault,No,No Recidivism,Yes
5760,2012,2015,5JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Violent,Assault,No,No Recidivism,Yes
5761,2012,2015,5JD,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Violent,Assault,No,No Recidivism,Yes
5762,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,Serious Misdemeanor,Public Order,OWI,No,No Recidivism,Yes
5763,2012,2015,6JD,Parole,White - Non-Hispanic,55 and Older,Female,D Felony,Public Order,OWI,No,No Recidivism,Yes
5764,2012,2015,ISC,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Sex,No,No Recidivism,Yes
5765,2012,2015,6JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Theft,No,No Recidivism,Yes
5766,2012,2015,6JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Property,Theft,No,No Recidivism,Yes
5767,2012,2015,3JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Public Order,OWI,No,No Recidivism,Yes
5768,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5769,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5770,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
5771,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,Weapons,No,No Recidivism,Yes
5773,2012,2015,1JD,Parole,White - Non-Hispanic,0-25,Female,D Felony,Violent,Assault,No,No Recidivism,Yes
5774,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5775,2012,2015,ISC,Parole,White - Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,No
5776,2012,2015,ISC,Parole,White - Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,No
5777,2012,2015,5JD,Parole,White - Hispanic,35-44,Male,D Felony,Violent,Assault,No,No Recidivism,Yes
5784,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Violent,Robbery,No,No Recidivism,Yes
5785,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Vandalism,No,No Recidivism,Yes
5786,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5787,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5788,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5789,2012,2015,ISC,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,Weapons,No,No Recidivism,Yes
5790,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Female,C Felony,Property,Arson,No,No Recidivism,Yes
5791,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
5792,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
5793,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
5794,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
5795,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
5796,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
5797,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
5798,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Other,Other Criminal,No,No Recidivism,Yes
5801,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5802,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5803,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5804,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5805,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5806,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5807,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5808,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5809,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5810,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5811,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5812,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5813,2012,2015,ISC,Parole,White - Non-Hispanic,55 and Older,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
5814,2012,2015,6JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,No,No Recidivism,Yes
5815,2012,2015,6JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,No,No Recidivism,Yes
5816,2012,2015,6JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Violent,Robbery,No,No Recidivism,Yes
5817,2012,2015,2JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Property,Burglary,No,No Recidivism,Yes
5818,2012,2015,1JD,Special Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Violent,Sex,No,No Recidivism,Yes
5819,2012,2015,ISC,Parole,Black - Non-Hispanic,35-44,Female,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,Yes
5820,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,No,No Recidivism,Yes
5821,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,No,No Recidivism,Yes
5822,2012,2015,5JD,Parole,White - Hispanic,45-54,Male,B Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
5823,2012,2015,ISC,Parole,White - Non-Hispanic,0-25,Female,Aggravated Misdemeanor,Property,Burglary,No,No Recidivism,Yes
5824,2012,2015,8JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Violent,Sex,No,No Recidivism,Yes
5826,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,No,No Recidivism,Yes
5827,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,No,No Recidivism,Yes
5828,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,No,No Recidivism,Yes
5829,2012,2015,2JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5838,2012,2015,ISC,Parole,White - Hispanic,0-25,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5839,2012,2015,ISC,Parole,White - Hispanic,0-25,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5841,2012,2015,2JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Vandalism,No,No Recidivism,Yes
5842,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,No Recidivism,No
5843,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
5844,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,No,No Recidivism,Yes
5846,2012,2015,ISC,Parole,White - Hispanic,0-25,Male,C Felony,Violent,Assault,No,No Recidivism,No
5872,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Female,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
5873,2012,2015,ISC,Special Sentence,White - Hispanic,0-25,Male,D Felony,Violent,Sex,No,No Recidivism,Yes
5874,2012,2015,ISC,Parole,American Indian or Alaska Native - Non-Hispanic,0-25,Male,D Felony,Property,Theft,No,No Recidivism,No
5875,2012,2015,4JD,Special Sentence,White - Hispanic,35-44,Male,B Felony,Violent,Robbery,No,No Recidivism,Yes
5877,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,No
5878,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Violent,Assault,No,No Recidivism,Yes
5879,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Female,D Felony,Violent,Assault,No,No Recidivism,Yes
5880,2012,2015,ISC,Parole,White - Hispanic,45-54,Male,D Felony,Property,Theft,No,No Recidivism,No
5885,2012,2015,6JD,Parole,White - Hispanic,35-44,Male,D Felony,Public Order,OWI,No,No Recidivism,No
5886,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5887,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5888,2012,2015,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5889,2012,2015,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5890,2012,2015,7JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5891,2012,2015,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5892,2012,2015,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5893,2012,2015,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5894,2012,2015,3JD,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5895,2012,2015,5JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,No
5896,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5897,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5898,2012,2015,8JD,Parole,White - Hispanic,0-25,Male,D Felony,Public Order,Other Public Order,No,No Recidivism,Yes
5906,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,Yes
5907,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,Yes
5908,2012,2015,ISC,Parole,White - Hispanic,25-34,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
5909,2012,2015,2JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Forgery/Fraud,No,No Recidivism,Yes
5910,2012,2015,ISC,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,No
5911,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5912,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5913,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5914,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,No,No Recidivism,Yes
5915,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
5916,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,C Felony,Property,Burglary,No,No Recidivism,Yes
5917,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
5918,2012,2015,2JD,Special Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Sex,No,No Recidivism,Yes
5919,2012,2015,5JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5920,2012,2015,ISC,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Female,D Felony,Violent,Assault,No,No Recidivism,Yes
5922,2012,2015,5JD,Parole,White - Non-Hispanic,55 and Older,Female,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5942,2012,2015,5JD,Special Sentence,White - Non-Hispanic,55 and Older,Male,C Felony,Violent,Sex,No,No Recidivism,Yes
5944,2012,2015,6JD,Parole,White - Non-Hispanic,35-44,Male,Serious Misdemeanor,Drug,Other Drug,No,No Recidivism,Yes
5945,2012,2015,5JD,Parole,Black - Non-Hispanic,55 and Older,Female,Aggravated Misdemeanor,Property,Theft,No,No Recidivism,Yes
5949,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,OWI,No,No Recidivism,Yes
5950,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,OWI,No,No Recidivism,Yes
5951,2012,2015,2JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,No Recidivism,Yes
5952,2012,2015,2JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,No Recidivism,Yes
5953,2012,2015,2JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,No Recidivism,Yes
5954,2012,2015,8JD,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
5955,2012,2015,8JD,Parole,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,Yes
5956,2012,2015,3JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5958,2012,2015,ISC,Parole,White - Hispanic,35-44,Male,C Felony,Property,Theft,No,No Recidivism,Yes
5959,2012,2015,ISC,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Drug,Other Drug,No,No Recidivism,No
5963,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Public Order,OWI,No,No Recidivism,Yes
5964,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Public Order,OWI,No,No Recidivism,Yes
5965,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Female,D Felony,Public Order,OWI,No,No Recidivism,Yes
5966,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Male,Felony - Enhancement to Original Penalty,Property,Vandalism,No,No Recidivism,Yes
5967,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,No Recidivism,No
5968,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,No,No Recidivism,No
5975,2012,2015,5JD,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,No,No Recidivism,Yes
5983,2012,2015,ISC,Parole,White - Non-Hispanic,35-44,Female,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,Yes
5984,2012,2015,7JD,Parole,White - Hispanic,25-34,Female,C Felony,Drug,Trafficking,No,No Recidivism,Yes
5985,2012,2015,6JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,OWI,No,No Recidivism,No
5986,2012,2015,ISC,Parole,White - Hispanic,55 and Older,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,No,No Recidivism,No
5987,2012,2015,1JD,Parole,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Traffic,No,No Recidivism,Yes
5988,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Female,B Felony,Drug,Trafficking,No,No Recidivism,No
5989,2012,2015,5JD,Parole,White - Non-Hispanic,45-54,Male,B Felony,Other,Other Criminal,No,No Recidivism,Yes
5990,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Male,C Felony,Other,Other Violent,No,No Recidivism,Yes
5991,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
5994,2012,2015,5JD,Parole,White - Non-Hispanic,0-25,Female,Aggravated Misdemeanor,Public Order,Traffic,No,No Recidivism,Yes
5996,2012,2015,2JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Theft,No,No Recidivism,Yes
5997,2012,2015,6JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5998,2012,2015,6JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,No,No Recidivism,Yes
5999,2012,2015,8JD,Parole,White - Non-Hispanic,0-25,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
6000,2012,2015,ISC,Parole,White - Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,OWI,No,No Recidivism,No
6001,2012,2015,ISC,Parole,White - Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,OWI,No,No Recidivism,No
6003,2012,2015,5JD,Parole,Black - Non-Hispanic,35-44,Female,D Felony,Property,Theft,No,No Recidivism,Yes
6004,2012,2015,7JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Public Order,OWI,No,No Recidivism,Yes
6005,2012,2015,7JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
6006,2012,2015,7JD,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
6007,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Drug,Drug Possession,No,No Recidivism,Yes
6008,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Drug,Drug Possession,No,No Recidivism,Yes
6010,2012,2015,ISC,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,No,No Recidivism,No
6011,2012,2015,ISC,Parole,White - Non-Hispanic,35-44,Male,D Felony,Property,Theft,No,No Recidivism,No
6012,2012,2015,5JD,Special Sentence,White - Non-Hispanic,25-34,Male,C Felony,Violent,Sex,No,No Recidivism,Yes
6013,2012,2015,ISC,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,No,No Recidivism,No
6014,2012,2015,1JD,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
6021,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Female,C Felony,Violent,Other Violent,No,No Recidivism,Yes
6024,2012,2015,8JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
6025,2012,2015,8JD,Parole,Black - Non-Hispanic,45-54,Male,D Felony,Public Order,OWI,No,No Recidivism,Yes
6027,2012,2015,1JD,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Other Drug,No,No Recidivism,Yes
6031,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
6032,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
6033,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
6034,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
6035,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
6056,2012,2015,8JD,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Property,Burglary,No,No Recidivism,Yes
6057,2012,2015,5JD,Parole,Black - Non-Hispanic,25-34,Female,C Felony,Violent,Robbery,No,No Recidivism,Yes
6058,2012,2015,1JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Violent,Murder/Manslaughter,No,No Recidivism,Yes
6059,2012,2015,8JD,Parole,White - Non-Hispanic,25-34,Female,Aggravated Misdemeanor,Property,Burglary,No,No Recidivism,Yes
6060,2012,2015,1JD,Parole,White - Non-Hispanic,45-54,Female,D Felony,Property,Theft,No,No Recidivism,Yes
6068,2012,2015,2JD,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,No,No Recidivism,Yes
6069,2012,2015,ISC,Parole,Black - Non-Hispanic,45-54,Female,D Felony,Property,Theft,No,No Recidivism,Yes
6076,2012,2015,7JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
6077,2012,2015,ISC,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,No
6078,2012,2015,ISC,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,No
6079,2012,2015,ISC,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,No
6080,2012,2015,ISC,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,No,No Recidivism,No
6082,2012,2015,5JD,Parole,White - Non-Hispanic,35-44,Male,D Felony,Public Order,Weapons,No,No Recidivism,Yes
6088,2012,2015,3JD,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,No,No Recidivism,Yes
6090,2012,2015,1JD,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,No,No Recidivism,Yes
