,fiscal_year_released,recidivism_reporting_year,releasetype,race_ethnicity,ageat_release,sex,offenseclassification,offensetype,offensesubtype,return_to_prison,days_to_return,recidivism_type,new_offenseclassification,new_offensetype,new_offensesub_type,target_population
18675,2011,2014,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,532.0,New,D Felony,Property,Burglary,Yes
18676,2011,2014,Parole,Black - Non-Hispanic,0-25,Male,D Felony,Property,Forgery/Fraud,Yes,736.0,New,C Felony,Property,Theft,Yes
18678,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,180.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
18680,2011,2014,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,769.0,New,D Felony,Property,Burglary,Yes
18683,2011,2014,Parole,White - Non-Hispanic,25-34,Female,D Felony,Property,Burglary,Yes,230.0,New,D Felony,Property,Forgery/Fraud,Yes
18684,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Trafficking,Yes,1030.0,New,D Felony,Property,Burglary,Yes
18685,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,473.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
18687,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,790.0,New,D Felony,Drug,Trafficking,No
18688,2011,2014,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,323.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
18692,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,111.0,New,D Felony,Violent,Assault,No
18693,2011,2014,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,826.0,New,D Felony,Property,Theft,Yes
18694,2011,2014,Parole,American Indian or Alaska Native - Non-Hispanic,0-25,Female,Aggravated Misdemeanor,Property,Burglary,Yes,520.0,New,D Felony,Drug,Trafficking,Yes
18695,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Violent,Assault,Yes,491.0,New,Aggravated Misdemeanor,Drug,Drug Possession,No
18696,2011,2014,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,268.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
18697,2011,2014,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,354.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
18698,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,304.0,New,D Felony,Drug,Trafficking,No
18699,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,C Felony,Property,Theft,Yes,484.0,New,D Felony,Property,Theft,No
18700,2011,2014,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,940.0,New,D Felony,Public Order,OWI,Yes
18702,2011,2014,Parole,White - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,122.0,New,C Felony,Drug,Trafficking,Yes
18704,2011,2014,Parole,White - Non-Hispanic,35-44,Female,D Felony,Property,Forgery/Fraud,Yes,921.0,New,D Felony,Property,Theft,Yes
18705,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,221.0,New,D Felony,Public Order,Traffic,No
18706,2011,2014,Parole,White - Hispanic,45-54,Male,D Felony,Public Order,Other Public Order,Yes,799.0,New,Felony - Enhancement to Original Penalty,Public Order,Other Public Order,Yes
18711,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,476.0,New,D Felony,Violent,Assault,No
18712,2011,2014,Parole,White - Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,829.0,New,D Felony,Public Order,Weapons,Yes
18714,2011,2014,Parole,Asian or Pacific Islander - Non-Hispanic,25-34,Male,C Felony,Violent,Assault,Yes,383.0,New,Serious Misdemeanor,Drug,Drug Possession,No
18716,2011,2014,Parole,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,693.0,New,D Felony,Property,Theft,No
18717,2011,2014,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,209.0,New,D Felony,Public Order,OWI,Yes
18718,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,628.0,New,D Felony,Property,Burglary,No
18719,2011,2014,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,674.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes
18720,2011,2014,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,703.0,New,C Felony,Property,Burglary,No
18721,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,201.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
18723,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,644.0,New,Aggravated Misdemeanor,Public Order,Weapons,No
18725,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,107.0,New,Aggravated Misdemeanor,Violent,Assault,No
18726,2011,2014,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,811.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
18727,2011,2014,Parole,White - Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,232.0,New,D Felony,Public Order,OWI,Yes
18728,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Theft,Yes,550.0,New,C Felony,Drug,Trafficking,No
18730,2011,2014,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,733.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
18732,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Other Violent,Yes,722.0,New,Aggravated Misdemeanor,Property,Theft,No
18733,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,797.0,New,Felony - Enhancement to Original Penalty,Property,Burglary,Yes
18734,2011,2014,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,1016.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
18735,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Violent,Assault,Yes,706.0,New,C Felony,Drug,Trafficking,No
18736,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,D Felony,Drug,Drug Possession,Yes,257.0,New,D Felony,Drug,Drug Possession,No
18737,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Drug,Drug Possession,Yes,939.0,New,D Felony,Property,Forgery/Fraud,No
18738,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Property,Theft,Yes,662.0,New,Aggravated Misdemeanor,Property,Theft,No
18739,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,269.0,New,Felony - Enhancement to Original Penalty,Property,Theft,No
18740,2011,2014,Parole,White - Non-Hispanic,45-54,Female,Aggravated Misdemeanor,Public Order,Alcohol,Yes,448.0,New,D Felony,Drug,Trafficking,Yes
18741,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,854.0,New,D Felony,Violent,Assault,No
18742,2011,2014,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,414.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
18743,2011,2014,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,952.0,New,D Felony,Property,Forgery/Fraud,Yes
18744,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,664.0,New,Felony - Enhancement to Original Penalty,Public Order,OWI,No
18745,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,969.0,New,D Felony,Violent,Assault,No
18747,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,307.0,New,C Felony,Drug,Trafficking,No
18748,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,292.0,New,C Felony,Property,Theft,No
18749,2011,2014,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,474.0,New,Felony - Enhancement to Original Penalty,Property,Burglary,Yes
18752,2011,2014,Parole,White - Non-Hispanic,35-44,Male,D Felony,Drug,Drug Possession,Yes,165.0,New,D Felony,Property,Theft,Yes
18756,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Other Public Order,Yes,420.0,New,Aggravated Misdemeanor,Violent,Assault,No
18759,2011,2014,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Drug,Trafficking,Yes,490.0,New,Aggravated Misdemeanor,Property,Theft,Yes
18761,2011,2014,Parole,White - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,311.0,New,Serious Misdemeanor,Violent,Assault,Yes
18762,2011,2014,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,474.0,New,D Felony,Violent,Assault,Yes
18763,2011,2014,Parole,White - Non-Hispanic,25-34,Female,C Felony,Property,Theft,Yes,532.0,New,D Felony,Property,Forgery/Fraud,Yes
18764,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Theft,Yes,904.0,New,D Felony,Public Order,Weapons,No
18766,2011,2014,Parole,Black - Non-Hispanic,35-44,Male,D Felony,Property,Arson,Yes,220.0,New,D Felony,Drug,Trafficking,Yes
18768,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,712.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
18769,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,Other Public Order,Yes,258.0,New,D Felony,Public Order,Other Public Order,No
18770,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,343.0,New,C Felony,Drug,Trafficking,No
18771,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Drug,Trafficking,Yes,957.0,New,D Felony,Property,Forgery/Fraud,No
18773,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Drug,Trafficking,Yes,835.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
18774,2011,2014,Parole,White - Non-Hispanic,45-54,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,745.0,New,D Felony,Drug,Drug Possession,Yes
18775,2011,2014,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,230.0,New,D Felony,Violent,Assault,Yes
18776,2011,2014,Parole,Black - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,750.0,New,Serious Misdemeanor,Violent,Assault,Yes
18780,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,483.0,New,Aggravated Misdemeanor,Violent,Assault,No
18781,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,636.0,New,C Felony,Drug,Trafficking,No
18783,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,719.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
18785,2011,2014,Parole,White - Non-Hispanic,0-25,Male,D Felony,Violent,Assault,Yes,252.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
18786,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,314.0,New,D Felony,Drug,Drug Possession,No
18787,2011,2014,Parole,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,711.0,New,Aggravated Misdemeanor,Violent,Other Violent,Yes
18790,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,538.0,New,C Felony,Drug,Trafficking,Yes
18792,2011,2014,Parole,White - Non-Hispanic,35-44,Female,C Felony,Property,Theft,Yes,418.0,New,Aggravated Misdemeanor,Property,Theft,Yes
18793,2011,2014,Parole,Black - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,94.0,New,D Felony,Public Order,OWI,Yes
18796,2011,2014,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,210.0,New,Aggravated Misdemeanor,Public Order,OWI,Yes
18798,2011,2014,Parole,White - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,140.0,New,Aggravated Misdemeanor,Public Order,OWI,Yes
18799,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,821.0,New,D Felony,Property,Theft,No
18801,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,428.0,New,Serious Misdemeanor,Public Order,Flight/Escape,Yes
18802,2011,2014,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,787.0,New,Aggravated Misdemeanor,Drug,Drug Possession,Yes
18803,2011,2014,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,644.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
18804,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,995.0,New,Aggravated Misdemeanor,Violent,Assault,No
18806,2011,2014,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,476.0,New,B Felony,Drug,Trafficking,Yes
18807,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,386.0,New,D Felony,Drug,Drug Possession,No
18808,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Weapons,Yes,377.0,New,Aggravated Misdemeanor,Violent,Assault,No
18810,2011,2014,Parole,American Indian or Alaska Native - Non-Hispanic,45-54,Female,D Felony,Property,Forgery/Fraud,Yes,580.0,New,D Felony,Property,Forgery/Fraud,Yes
18811,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,584.0,New,Aggravated Misdemeanor,Violent,Assault,No
18812,2011,2014,Parole,White - Non-Hispanic,45-54,Male,D Felony,Property,Forgery/Fraud,Yes,202.0,New,D Felony,Property,Burglary,No
18813,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,793.0,New,C Felony,Drug,Trafficking,No
18816,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,609.0,New,C Felony,Drug,Trafficking,No
18817,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,388.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
18818,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,303.0,New,C Felony,Drug,Trafficking,No
18819,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,334.0,New,C Felony,Property,Theft,No
18821,2011,2014,Parole,Black - Non-Hispanic,45-54,Male,C Felony,Violent,Robbery,Yes,370.0,New,Aggravated Misdemeanor,Public Order,OWI,Yes
18822,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,576.0,New,C Felony,Property,Theft,No
18823,2011,2014,Parole,White - Non-Hispanic,25-34,Male,C Felony,Violent,Other Violent,Yes,561.0,New,D Felony,Property,Burglary,Yes
18824,2011,2014,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,238.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
18825,2011,2014,Parole,Black - Non-Hispanic,35-44,Male,B Felony,Drug,Trafficking,Yes,674.0,New,D Felony,Property,Forgery/Fraud,Yes
18826,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Property,Burglary,Yes,74.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
18829,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Public Order,Other Public Order,Yes,594.0,New,D Felony,Drug,Trafficking,No
18830,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,704.0,New,D Felony,Public Order,OWI,Yes
18832,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Forgery/Fraud,Yes,439.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
18833,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,664.0,New,Aggravated Misdemeanor,Violent,Assault,No
18834,2011,2014,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,1065.0,New,D Felony,Drug,Trafficking,Yes
18835,2011,2014,Parole,American Indian or Alaska Native - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,852.0,New,D Felony,Drug,Trafficking,Yes
18836,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Public Order,Other Public Order,Yes,384.0,New,D Felony,Public Order,Other Public Order,No
18840,2011,2014,Parole,White - Non-Hispanic,0-25,Female,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,1084.0,New,D Felony,Property,Forgery/Fraud,Yes
18841,2011,2014,Parole,White - Non-Hispanic,25-34,Male,B Felony,Drug,Trafficking,Yes,217.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes
18843,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Theft,Yes,355.0,New,D Felony,Property,Forgery/Fraud,Yes
18844,2011,2014,Parole,White - Non-Hispanic,45-54,Male,C Felony,Drug,Trafficking,Yes,490.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes
18845,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,296.0,New,D Felony,Drug,Trafficking,No
18846,2011,2014,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,554.0,New,D Felony,Public Order,Other Public Order,No
18847,2011,2014,Parole,Black - Non-Hispanic,35-44,Male,Felony - Enhancement to Original Penalty,Drug,Trafficking,Yes,225.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
18849,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,D Felony,Violent,Assault,Yes,323.0,New,D Felony,Public Order,OWI,No
18850,2011,2014,Parole,Black - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,1033.0,New,Aggravated Misdemeanor,Public Order,Traffic,Yes
18852,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,C Felony,Violent,Sex,Yes,1007.0,New,D Felony,Public Order,Other Public Order,No
18853,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Violent,Assault,Yes,452.0,New,D Felony,Violent,Assault,No
18854,2011,2014,Parole,White - Non-Hispanic,35-44,Male,B Felony,Other,Other Criminal,Yes,70.0,New,B Felony,Other,Other Criminal,Yes
18855,2011,2014,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,172.0,New,Aggravated Misdemeanor,Violent,Assault,Yes
18856,2011,2014,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,456.0,New,B Felony,Drug,Trafficking,Yes
18857,2011,2014,Discharged – End of Sentence,American Indian or Alaska Native - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,1032.0,New,C Felony,Property,Burglary,No
18858,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,55 and Older,Male,D Felony,Public Order,Other Public Order,Yes,290.0,New,D Felony,Property,Forgery/Fraud,No
18861,2011,2014,Parole,White - Non-Hispanic,35-44,Male,C Felony,Property,Burglary,Yes,676.0,New,C Felony,Drug,Trafficking,Yes
18862,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,558.0,New,D Felony,Public Order,OWI,No
18864,2011,2014,Parole,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Property,Burglary,Yes,224.0,New,D Felony,Property,Theft,Yes
18867,2011,2014,Parole,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,775.0,New,D Felony,Property,Forgery/Fraud,No
18869,2011,2014,Parole,White - Hispanic,25-34,Male,D Felony,Public Order,OWI,Yes,357.0,New,D Felony,Public Order,OWI,Yes
18870,2011,2014,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,648.0,New,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes
18871,2011,2014,Parole,White - Hispanic,35-44,Male,D Felony,Public Order,OWI,Yes,585.0,New,D Felony,Public Order,OWI,Yes
18873,2011,2014,Parole,Black - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,134.0,New,Serious Misdemeanor,Violent,Assault,Yes
18874,2011,2014,Parole,Black - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Public Order,Weapons,Yes,119.0,New,D Felony,Drug,Trafficking,Yes
18875,2011,2014,Parole,White - Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,802.0,New,D Felony,Property,Theft,Yes
18876,2011,2014,Parole,White - Non-Hispanic,45-54,Male,B Felony,Drug,Trafficking,Yes,423.0,New,B Felony,Drug,Trafficking,Yes
18877,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,838.0,New,C Felony,Drug,Trafficking,No
18878,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,C Felony,Property,Theft,Yes,993.0,New,Felony - Enhancement to Original Penalty,Violent,Assault,No
18879,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Female,Aggravated Misdemeanor,Property,Theft,Yes,415.0,New,Aggravated Misdemeanor,Property,Theft,No
18880,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Public Order,Alcohol,Yes,261.0,New,Aggravated Misdemeanor,Public Order,Alcohol,No
18881,2011,2014,Parole,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,1080.0,New,C Felony,Drug,Trafficking,Yes
18882,2011,2014,Parole,White - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,849.0,New,D Felony,Drug,Trafficking,Yes
18883,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,D Felony,Violent,Assault,Yes,617.0,New,D Felony,Public Order,Other Public Order,No
18886,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,D Felony,Public Order,OWI,Yes,1030.0,New,D Felony,Violent,Assault,No
18890,2011,2014,Parole,White - Non-Hispanic,25-34,Male,C Felony,Property,Theft,Yes,699.0,New,D Felony,Property,Theft,Yes
18892,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,45-54,Male,Aggravated Misdemeanor,Violent,Assault,Yes,79.0,New,D Felony,Violent,Assault,No
18893,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Drug,Trafficking,Yes,838.0,New,Felony - Enhancement to Original Penalty,Drug,Trafficking,No
18895,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Other Public Order,Yes,698.0,New,D Felony,Public Order,Other Public Order,No
18897,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Theft,Yes,1054.0,New,Aggravated Misdemeanor,Violent,Assault,No
18898,2011,2014,Parole,Black - Non-Hispanic,0-25,Male,C Felony,Drug,Trafficking,Yes,140.0,New,D Felony,Public Order,Traffic,Yes
18899,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,D Felony,Violent,Assault,Yes,813.0,New,D Felony,Public Order,OWI,No
18900,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,35-44,Male,D Felony,Property,Burglary,Yes,322.0,New,C Felony,Property,Burglary,No
18901,2011,2014,Parole,Black - Non-Hispanic,55 and Older,Male,Felony - Enhancement to Original Penalty,Other,Other Criminal,Yes,720.0,New,Felony - Enhancement to Original Penalty,Property,Forgery/Fraud,Yes
18902,2011,2014,Parole,White - Non-Hispanic,35-44,Female,C Felony,Drug,Trafficking,Yes,602.0,New,D Felony,Property,Theft,Yes
18903,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,0-25,Male,Aggravated Misdemeanor,Violent,Assault,Yes,699.0,New,Aggravated Misdemeanor,Violent,Assault,No
18906,2011,2014,Parole,Black - Non-Hispanic,35-44,Male,C Felony,Drug,Trafficking,Yes,471.0,New,D Felony,Public Order,OWI,Yes
18907,2011,2014,Parole,White - Non-Hispanic,35-44,Male,Aggravated Misdemeanor,Property,Vandalism,Yes,256.0,New,D Felony,Violent,Assault,Yes
18908,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Drug,Drug Possession,Yes,1014.0,New,D Felony,Violent,Assault,Yes
18909,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Public Order,Traffic,Yes,240.0,New,Aggravated Misdemeanor,Property,Theft,Yes
18910,2011,2014,Parole,White - Non-Hispanic,0-25,Male,D Felony,Property,Burglary,Yes,627.0,New,B Felony,Drug,Trafficking,Yes
18912,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,25-34,Male,C Felony,Property,Burglary,Yes,783.0,New,D Felony,Drug,Trafficking,No
18913,2011,2014,Parole,Black - Non-Hispanic,55 and Older,Male,C Felony,Property,Theft,Yes,312.0,New,C Felony,Property,Theft,Yes
18917,2011,2014,Discharged – End of Sentence,Black - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Property,Theft,Yes,739.0,New,C Felony,Drug,Trafficking,No
18919,2011,2014,Parole,White - Non-Hispanic,25-34,Male,Aggravated Misdemeanor,Public Order,Traffic,Yes,156.0,New,D Felony,Violent,Assault,Yes
18920,2011,2014,Discharged – End of Sentence,White - Non-Hispanic,55 and Older,Male,Aggravated Misdemeanor,Property,Theft,Yes,867.0,New,D Felony,Property,Theft,No
18922,2011,2014,Parole,White - Non-Hispanic,25-34,Male,D Felony,Property,Burglary,Yes,237.0,New,C Felony,Property,Burglary,Yes
